127.0.0.1 - - [14/Jan/2018:16:35:59 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_09.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_13.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_11.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/bt_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_18.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:01 +0800] "GET /stuGrademange/login/images/login_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:36:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:35 +0800] "POST /stuGrademange/login_do.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/index.jsp HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/css/skin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/out.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/top-right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/left.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/menu_topline.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/js/moo.fx.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/js/prototype.lite.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/js/moo.fx.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/MylistGrade.jsp?action=Mylistgrade HTTP/1.1" 200 6595
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/menu_bg1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/menu_bgs.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/left-top-right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:37:37 +0800] "GET /stuGrademange/images/buttom_bgs.gif HTTP/1.1" 304 -
