127.0.0.1 - - [17/Feb/2018:12:33:32 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:33:33 +0800] "GET /Test1/login.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:33:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:34:57 +0800] "GET /Test1/login.html HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:00 +0800] "POST /Test1/ls HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:30 +0800] "POST /Test1/ls HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:34 +0800] "GET /Test1/login.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:35 +0800] "GET /Test1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:37 +0800] "POST /Test1/LoginValidationFilter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:37 +0800] "GET /Test1/loginError.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:40 +0800] "GET /Test1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:45 +0800] "POST /Test1/LoginValidationFilter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:45 +0800] "GET /Test1/loginError.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2018:12:35:47 +0800] "GET /Test1/login.html HTTP/1.1" 304 -
